id,name,url,description
energy-efficiency-renewable-energy-data-portal,Energy Efficiency & Renewable Energy Data Portal,,"Select sources of data on energy efficiency and renewable energy technologies from throughout EERE and from the DOE national laboratories. These data resources provide information such as prices, savings, use, and state statistics by technology. Also included are links to more comprehensive data collections, policy data resources, and supply and demand forecasts."
national-renewable-energy-data-resources,National Renewable Energy Data & Resources,,"Databases, maps, and tools produced by the National Renewable Energy Laboratory can be found online. These resources are available to assess, analyze, and optimize renewable energy and energy efficiency technologies. NREL maintains a number of databases and portals."
doe-explorer,DOE Explorer,http://www.osti.gov/dataexplorer/,"This portal, launched in 2013 by DOE’s Office of Science, provides science, technology, and engineering research and data collections from DOE."
energy-information-administration,Energy Information Administration,,"The U.S. Energy Information Administration collects, analyzes, and disseminates independent and impartial energy information to promote sound policy making, efficient markets, and public understanding of energy and its interaction with the economy and the environment."
green-button-data,Green Button Data,,"A set of RESTful API methods and an XML data standard allowing consumers to access their energy usage data and securely share that data with third-party web and mobile apps. Today, 48 utilities and electricity suppliers have committed to enable their customers with ""Green Button"" access. Over 42 million household and business customers already have access to their Green Button energy data."
national-library-of-energy,National Library of Energy,,"The library ""virtually integrates information from Energy.gov (the DOE website) and all DOE program offices, national laboratories and other facilities. The National Library of Energy search feature provides one-stop, easy access to information in DOE's broad mission areas: science and R&D; energy and technology for industry and homeowners; energy market information and analysis; and nuclear security and environmental management."
nepanode,NEPAnode,http://github.com/DOE-NEPA,"NEPAnode is a collection of services and tools made available to federal staff and contractors working to implement the National Environmental Policy Act of 1969 (NEPA) and other related environmental reviews and permitting processes. This site is part of pilot effort at the US Department of Energy (DOE) ­ Office of NEPA Policy and Compliance to evaluate providing IT web services as a shared service, hosted on the cloud, and using only Free and Open Source Software (FOSS). NEPAnode's core mission is to enable non­-GIS professionals the same capabilities for data gathering and sharing. Also, moving from text­based documenting of a project to a map­based/visual approach."
federal-energy-regulatory-commission-data-sets,Federal Energy Regulatory Commission Data Sets,,"Data from the Federal Energy Regulatory Commission, an independent agency that regulates the interstate transmission of natural gas, oil, and electricity."
